French,English
retrouver,to regain
semaine,week
également,also
ci,this
façon,way
nombre,number
perdre,to lose
français,French
expliquer,explain
quatre,four
compte,account
considérer,consider
lorsque,when
ouvrir,open
gagner,to earn
exemple,example
ville,city
économique,economic
mesure,measure
histoire,story
haut,high
ensuite,then
guerre,war
loi,law
président,President
exister,to exist
sûr,safe
refuser,to refuse
plutôt,rather
bureau,office
mauvais,Wrong
quant,as to
mort,dead
mal,wrong
lire,read
réussir,to succeed
marché,market
condition,condition
international,international
changer,change
oui,yes
public,audience
humain,human
souvent,often
cinq,five
système,system
travailler,to work
jeu,Game
vrai,TRUE
représenter,represent
madame,Mrs
société,society
difficile,difficult
quoi,what
entreprise,company
coup,stroke
or,gold
social,social
assurer,to assure
essayer,to try
juste,just
étranger,foreigner
empêcher,to prevent
million,million
manière,manner
sortir,to go out
prix,price
terme,term
longtemps,long time
reprendre,to resume
courant,fluent
intérêt,interest
mener,carry out
information,information
détail,retail
appartenir,belong
liberté,freedom
assez,quite
risquer,risk
chacun,each
concerner,concern
maison,home
d'abord,first of all
apprendre,learn
niveau,level
rencontrer,to meet
ton,your
œuvre,artwork
créer,to create
état,state
obtenir,get
clair,clear
chercher,look for
entrer,to enter
proposer,to propose
apporter,to bring
programme,program
loin,far
ligne,line
tête,head
libre,free
utiliser,use
atteindre,reach
tenter,to attempt
tard,late
enfin,finally
différent,different
sorte,sort
cependant,however
sujet,topic
importer,import
action,stock
relation,relationship
recherche,research
livre,book
ajouter,add
ailleurs,elsewhere
vraiment,really
doute,doubt
reste,rest
début,start
présence,presence
nombreux,many
produire,produce
préparer,prepare
forme,shape
décision,decision
rôle,role
dix,ten
produit,product
américain,American
minute,minute
relever,raise
autant,as much
peuple,people
second,second
prochain,next
particulier,particular
écrire,to write
position,position
développement,development
défendre,defend
chef,chief
économie,economy
effort,effort
parmi,among
membre,member
tirer,to pull
ancien,ancient
beau,beautiful
plein,full
juger,judge
éviter,avoid
soir,evening
personnel,personal
titre,title
parti,left
objet,object
unique,unique
souhaiter,to wish
afin,to
peine,sadness
malgré,despite
période,period
engager,to hire
réaliser,achieve
parfois,sometimes
lors,during
sérieux,serious
aider,to help
voix,voice
terminer,to end
base,base
espérer,hope
main,hand
gros,fat
arrêter,Stop
retour,return
prêt,ready
occasion,occasion
député,deputy
regarder,watch
plupart,mostly
deuxième,second
résultat,result
écouter,listen
terre,Earth
valoir,to be worth
dollar,dollar
intérieur,interior
page,page
confiance,trust
choix,choice
prévoir,to expect
chance,chance
notamment,especially
type,kind
but,goal
matin,morning
grave,severe
prise,socket
européen,European
étude,study
principe,principle
remplacer,replace
avancer,move up
six,six
nécessaire,necessary
activité,activity
valeur,value
marquer,to mark
entier,entire
réponse,answer
aide,aid
principal,major
élever,raise
pourtant,yet
commission,commission
cesser,to cease
poursuivre,pursue
maintenir,maintain
époque,era
exprimer,to express
ami,friend
bas,low
imposer,impose
moitié,half
avenir,coming
argent,money
mise,putting
œil,eye
eau,water
sauf,except
école,school
sécurité,security
milieu,environment
lettre,letter
presque,almost
attention,Warning
cadre,framework
futur,future
mouvement,movement
former,form
conduire,drive
règle,rule
poste,post
demande,request
centre,center
acte,deed
disparaître,to disappear
priver,deprive
constituer,constitute
accord,deal
milliard,billion
lier,bind
obliger,obligate
craindre,to fear
passé,past
âge,age
déclarer,to declare
oublier,forget
propos,about
troisième,third
quitter,leave
bout,end
population,population
toi,you
responsable,responsible
route,road
tôt,early
lancer,throw
limite,limit
fonction,function
emploi,use
objectif,purpose
paraître,appear
journal,log
annoncer,announce
lui-même,itself
tour,tower
voilà,so
volonté,will
envoyer,send
partager,to share
puisque,because
établir,establish
changement,change
garder,to keep
réalité,reality
interdire,to prohibit
finir,finish
placer,to place
sentir,feel
payer,to pay
esprit,mind
domaine,domain
diriger,to manage
noter,to note
nature,nature
régime,diet
charger,load
court,short
parent,parent
tomber,fall
départ,departure
mondial,global
entraîner,lead
disposer,arrange
parole,word
fond,background
publique,public
faux,fake
genre,gender
retenir,retain
communauté,community
intéresser,to interest
c'est-à-dire,that is to say
corps,body
matière,matter
sein,breast
difficulté,difficulty
parvenir,to arrive at
secteur,sector
appel,call
cœur,heart
père,dad
organisation,organization
unité,unity
noir,black
événement,event
double,double
convaincre,to convince
nation,nation
conseil,advice
soutenir,sustain
paix,peace
nuit,night
partout,all over
direction,direction
manquer,miss
actuel,current
opposer,oppose
signifier,mean
journée,daytime
d'ailleurs,moreover
traiter,treat
indiquer,indicate
tuer,kill
technique,technical
rapidement,rapidly
autour,around
réduire,reduce
d'après,according to
préférer,prefer
rue,street
riche,rich
bref,Short
nommer,appoint
violence,violence
siècle,century
article,article
durer,last
qualité,quality
gauche,left
solution,solution
voie,way
capable,able
canadien,canadian
erreur,error
livrer,deliver
auprès,with
simplement,simply
souvenir,memory
conséquence,result
large,wide
contraire,opposite
succès,hit
élément,element
local,local
été,summer
inviter,invite
extérieur,outside
pied,foot
mission,assignment
débat,debate
fille,daughter
répéter,repeat
texte,text
profiter,enjoy
chambre,bedroom
création,creation
prouver,prove
acheter,buy
justice,justice
production,production
ignorer,ignore
directeur,director
santé,health
souffrir,suffer
précis,precise
fixer,to stare
mère,mother
croissance,growth
risque,risk
arme,armed
estimer,to estimate
endroit,place
comité,committee
impossible,impossible
preuve,proof
véritable,TRUE
amener,to bring
viser,to aim
retirer,withdraw
total,total
image,image
date,date
travers,through
contrôle,control
énorme,huge
conserver,keep
réel,real
campagne,campaign
naître,be born
accorder,to agree
tourner,turn
participer,participate
vieux,old
rapide,quick
respecter,respect
passage,passage
essentiel,essential
adopter,adopt
subir,undergo
environ,around
expérience,experience
admettre,admit
découvrir,discover
couvrir,cover
assister,assist
sénateur,senator
dépasser,to go past
affirmer,to affirm
soumettre,submit
financier,financial
processus,process
militaire,military
frais,fresh
industrie,industry
apparaître,appear
responsabilité,responsibility
réserver,Reserve
porte,gate
victime,victim
territoire,territory
pauvre,poor
taux,rate
organiser,arrange
posséder,own
matériel,material
cent,hundred
constater,to certify
prononcer,pronounce
signe,sign
blanc,White
origine,origin
vendre,to sell
vite,quickly
langue,tongue
dangereux,dangerous
déplacer,move
importance,importance
suffire,suffice
espoir,hope
davantage,any further
saisir,to input
énergie,energy
réseau,network
mourir,to die
faible,low
employer,to employ
possibilité,possibility
spécial,special
accompagner,accompany
actuellement,currently
union,union
supposer,assume
fournir,provide
ceci,this
exiger,require
intervenir,to intervene
fils,son
d'accord,Okay
discuter,discuss
différence,difference
protéger,protect
abandonner,give up
avis,opinion
battre,beat
pire,worse
adresser,address
préciser,to specify
intervention,intervention
attirer,to attract
demeurer,remain
chiffre,figure
consacrer,devote
remplir,to fill
divers,various
appliquer,to apply
frapper,hit
peur,fear
parlement,parliament
fermer,to close
forcer,force
lutte,struggle
naturel,natural
air,air
auteur,author
opération,surgery
heureux,happy
crise,crisis
numéro,number
résoudre,to resolve
publier,publish
instant,moment
toutefois,Nevertheless
pousser,push
quelqu'un,someone
discours,speech
banque,bank
compagnie,company
reposer,to rest
opinion,opinion
classe,class
particulièrement,particularly
commun,commmon
satisfaire,satisfy
intention,intention
autorité,authority
anglais,English
échange,exchange
feu,fire
neuf,nine
observer,observe
capacité,ability
désigner,designate
dépendre,depend
message,message
construire,build
scène,stage
durant,during
secret,secret
plaisir,pleasure
dossier,case
proposition,proposal
combien,How many
nul,no
absence,absence
cher,dear
plaire,to please
derrière,behind
connaissance,knowledge
immédiatement,immediately
entrée,Starter
signer,sign
révéler,reveal
couper,to cut
salle,Hall
pièce,room
équipe,team
situer,locate
souligner,emphasize
source,source
respect,respect
crime,crime
précédent,previous
installer,to install
facile,easy
augmenter,to augment
réunir,reunite
impression,impression
octobre,october
médecin,doctor
fédéral,federal
police,police
coût,cost
formation,training
contrat,contract
normal,normal
attitude,attitude
faute,mistake
série,series
lever,lift
proche,close
direct,direct
imaginer,imagine
figurer,appear
pratique,convenient
finalement,eventually
allemand,German
pression,pressure
accès,access
champ,field
film,movie
charge,charge
envisager,consider
commune,commune
ressource,resource
monter,ascend
promettre,to promise
motion,motion
concentrer,focus
exactement,exactly
composer,compose
chemin,path
zone,area
province,province
élection,election
usage,use
conflit,conflict
hors,except
enquête,survey
terrain,ground
mars,March
tellement,such
espace,space
demain,tomorrow
hier,yesterday
confier,entrust
remarquer,to remark
égard,regard
supérieur,superior
huit,eight
condamner,damn
capital,capital
lien,link
voiture,car
discussion,discussion
limiter,restrict
justifier,to justify
agent,agent
sentiment,feeling
tâche,task
directement,directly
euh,uh
raconter,tell
décembre,December
développer,to develop
honorable,honorable
contact,contact
conclure,conclude
fruit,fruit
ouvert,open
investissement,investment
insister,insist
avantage,advantage
garde,keep
historique,historical
probablement,probably
voyage,trip
sept,seven
marche,walking
vérité,truth
commercial,commercial
critique,critical
ministère,ministry
baisser,to lower
somme,sum
culture,culture
cacher,hide
prêter,to lend
définir,to define
client,customer
exposer,expose
progrès,progress
secrétaire,secretary
mer,sea
rapporter,report
appuyer,to lean on
liste,list
rentrer,to return
mémoire,memory
caractère,character
détruire,destroy
civil,civil
nécessité,need
juin,june
danger,hazard
complexe,complex
commerce,trade
transport,transportation
attente,waiting
institution,institution
défense,defense
janvier,January
échapper,escape
négociation,negotiation
franc,franc
mai,may
septembre,september
environnement,environment
séparer,to separate
réaction,reaction
disposition,provision
positif,positive
scientifique,scientist
papier,paper
expression,expression
protection,protection
indépendant,independent
carte,menu
association,association
régler,adjust
modèle,model
commander,order
étudier,to study
déterminer,determine
budget,budget
fonder,found
structure,structure
complet,complete
exercer,exercise
amour,love
manifester,manifest
menacer,to menace
conseiller,advise
réunion,meeting
opposition,opposition
maladie,disease
outre,outraged
tandis,while
construction,construction
bande,bandaged
signal,signal
voisin,neighbor
réforme,reform
rejeter,to reject
novembre,november
fonds,funds
coûter,cost
reprise,reprise
presse,hurry
rouge,red
majorité,majority
autoriser,to allow
effectuer,carry out
bord,edge
central,central
procédure,procedure
faveur,favor
éducation,education
officiel,official
document,document
aspect,aspect
retourner,to return to
professionnel,professional
auparavant,previously
animal,animal
utile,useful
inscrire,to register
concurrence,competition
déclaration,statement
rejoindre,rejoin
mille,thousand
absolument,absolutely
prison,jail
armée,army
revenu,revenue
complètement,completely
confirmer,confirm
salaire,salary
lecture,reading
contribuer,contribute
attaquer,tackle
table,table
remonter,go back up
certes,certainly
avril,april
autrement,otherwise
ferme,closed
désormais,from now on
lourd,heavy
susciter,to stimulate
république,Republic
dur,hard
application,application
lutter,Wrestle
profit,profit
contenir,contain
déposer,to file
modifier,edit
communication,communication
jugement,judgement
manque,lack
échec,failure
traverser,to cross
transformer,transform
engagement,commitment
frère,brother
mardi,tuesday
rencontre,meet
vote,vote
renvoyer,dismiss
regretter,to regret
espèce,species
recommandation,recommendation
consister,consist
réagir,react
surprendre,surprise
circonstance,circumstance
témoin,witness
améliorer,improve
administration,administration
réfléchir,think
lumière,light
vert,green
apprécier,enjoy
combat,fight
sensible,sensitive
étudiant,student
vitesse,speed
malade,sick
portée,scope
élève,student
contrôler,control
merci,thank you
certainement,definitely
visite,visit
assemblée,Assembly
émission,emission
arrivée,arrival
puissance,Powerful
partenaire,partner
contenter,satisfy
perte,loss
libéral,liberal
citoyen,citizen
citer,to quote
influence,influence
camp,camp
établissement,establishment
vendredi,Friday
avance,advance
destiner,destiny
causer,cause
nord,north
lundi,Monday
maître,master
interroger,question
conférence,conference
provoquer,to provoke
vente,sale
ramener,to bring back
soldat,soldier
collègue,coworker
concevoir,design
procéder,proceed
poids,weight
voici,here is
acquérir,to acquire
moindre,lesser
convenir,suit
logique,logic
examiner,examine
soin,care
mesurer,measure
traitement,treatment
jeudi,Thursday
impliquer,involve
science,science
individu,individual
donnée,given
demi,half
combattre,combat
violent,violent
comporter,include
suivant,following
mériter,merit
emprunter,borrow
conscience,awareness
traduire,translate
sang,blood
millier,thousand
emporter,carry
initiative,initiative
nucléaire,nuclear
industriel,industrial
vif,lively
exact,exact
exception,exception
doubler,double
février,february
mode,fashion
tendre,tender
musique,music
gestion,management
honneur,honor
vaste,vast
évoquer,recall
fonctionner,function
étape,step
physique,physical
accuser,to accuse
parfaitement,perfectly
méthode,method
professeur,teacher
envers,towards
distribuer,distribute
existence,existence
prétendre,to claim
global,overall
dommage,shame
crédit,credit
tendance,tendency
chaîne,chain
relatif,relative
note,note
réserve,Reserve
maximum,maximum
moteur,motor
version,version
règlement,settlement
couple,couple
mercredi,Wednesday
régional,regional
sinon,otherwise
entreprendre,undertake
au-delà,beyond
étendre,to expand
sortie,exit
profond,deep
décrire,describe
etc,etc
récent,recent
télévision,television
retraite,retirement
art,art
frontière,frontier
égal,equal
promesse,promise
entretenir,maintain
habiter,to live
quartier,neighborhood
avocat,attorney
accueillir,welcome
libérer,to free
vivant,living
université,university
rire,to laugh
facilement,easily
crainte,fear
commettre,commit
précisément,precisely
soutien,support
urgence,emergency
clé,key
enlever,to remove
jeter,discard
religieux,religious
analyse,to analyse
disponible,available
regard,glance
prévenir,prevent
bientôt,soon
analyser,analyze
mariage,wedding
couleur,color
témoigner,bear witness
sauver,save
parlementaire,parliamentary
conclusion,conclusion
bleu,blue
dehors,outside
remercier,thank
actif,asset
réclamer,claim
habitude,habit
récemment,recently
fil,thread
collectif,collective
excellent,excellent
moral,moral
accident,accident
code,coded
puissant,powerful
recueillir,collect
fabriquer,make
représentant,representing
rare,rare
extraordinaire,extraordinary
dimanche,Sunday
vérifier,check
envie,urge
enregistrer,save
moderne,modern
parc,Park
impôt,tax
sud,south
efficace,efficient
intéressant,interesting
île,Isle
cité,cited
carrière,career
voter,vote
traité,treaty
libération,release
nourrir,to feed
sérieusement,seriously
bras,arms
immédiat,immediate
exceptionnel,exceptional
rechercher,to research
palestinien,Palestinian
lendemain,the following day
producteur,producer
garantir,to guarantee
geste,gesture
roman,novel
augmentation,increase
facteur,postman
policier,policeman
échelle,ladder
supplémentaire,additional
pratiquer,practice
pensée,thought
extrême,extreme
néanmoins,However
bénéficier,benefit
vingt,twenty
revoir,see again
perspective,perspective
défaut,default
précieux,precious
retard,delay
démocratie,democracy
renforcer,to reinforce
silence,silence
troupe,troop
qualifier,to qualify
absolu,absolute
dégager,clear
stratégie,strategy
bateau,ship
printemps,spring
course,race
exercice,practice
fondamental,fundamental
visage,face
droite,right
machine,machine
village,town
britannique,British
surveiller,to watch
édition,editing
organisme,organization
leçon,lesson
accomplir,accomplish
décevoir,disappoint
bataille,battle
port,Harbor
naissance,birth
majeur,major
froid,cold
hôpital,hospital
circuit,circuit
terrible,terrible
degré,degree
exigence,requirement
rêve,dream
inspirer,Inspire
opérer,operate
entièrement,entirely
chapitre,chapter
quotidien,daily
clairement,clearly
joindre,join
léger,light
permanent,permanent
juge,judge
après-midi,afternoon
russe,Russian
juillet,july
ordinaire,ordinary
candidat,candidate
rapprocher,bring together
résistance,resistance
fier,proud
justement,exactly
habitant,resident
formule,formula
mur,wall
tribunal,court
journaliste,journalist
manger,eat
soulever,raise
évidemment,obviously
travailleur,worker
résolution,resolution
dirigeant,leader
marque,brand
utilisation,use
offre,offer
habituel,usual
survivre,survive
populaire,popular
constitution,constitution
participation,participation
évolution,evolution
totalement,totally
gérer,manage
samedi,Saturday
informer,inform
fou,mad
attacher,attach
renouveler,renew
asseoir,Sit
oh,Oh
transfert,transfer
renoncer,to renouncer
roi,King
soi,self
téléphone,phone
net,net
foi,faith
motif,pattern
plaindre,complain
tradition,tradition
institut,institute
victoire,victoire
arrêt,stop
concours,competition
vis-à-vis,vis à vis
aboutir,lead
visiter,to visit
elle-même,herself
démocratique,democratic
tentative,attempt
largement,widely
échouer,fail
désirer,to desire
côte,coast
génération,generation
vent,wind
technologie,technology
inquiéter,worry
dépit,spite
équilibre,balance
inquiet,worry
obstacle,obstacle
réflexion,reflection
uniquement,uniquely
affecter,affect
revanche,revenge
ressembler,resemble
station,station
supporter,support
privé,private
catégorie,category
mine,mine
législatif,legislative
ah,ah
propriétaire,owner
favoriser,to favor
priorité,priority
avion,plane
minimum,minimum
criminel,criminal
photo,Photo
précéder,precede
solide,solid
correspondre,match
navire,ship
centaine,hundred
explication,explanation
transmettre,to transmit
appareil,device
publication,publication
associer,associate
trait,trait
référence,reference
bois,drink
identifier,identify
symbole,symbol
consommation,consumption
idéal,ideal
chômage,unemployment
courage,courage
reconnaissance,recognition
entretien,maintenance
encourager,encourage
kilomètre,kilometer
dérouler,unroll
identité,identify
amendement,amendment
signaler,report
division,division
contexte,context
coupable,guilty
favorable,favorable
obligation,obligation
août,august
attribuer,assign
courir,run
examen,review
personnage,character
dénoncer,denounce
inconnu,unknown
échanger,to exchange
montant,amount
éliminer,eliminate
ouverture,opening
tableau,table
exclure,exclude
meurtre,murder
exemplaire,copy
propriété,property
final,final
site,site
séance,session
durée,duration
élire,elect
baisse,decrease
inquiétude,worry
israélien,Israeli
représentation,representation
pareil,the same
mandat,mandate
quinze,fifteen
vide,empty
statut,status
essai,essay
sourire,to smile
italien,Italian
suggérer,suggest
interrompre,interrupt
au-dessus,above
agence,agency
usine,plant
unir,unite
rang,rank
employé,employee
sommet,Mountain peak
franchir,cross
évident,obvious
comportement,behaviour
fête,party
sol,floor
écarter,displease
vague,vague
réduction,reduction
culturel,cultural
coopération,cooperation
vertu,virtue
d'autant,especially
leader,leader
taille,cut
contenu,contents
distance,distance
automne,fall
arrière,back
vision,vision
investir,invest
diminuer,to diminish
réfugier,refuge
entourer,surround
juif,Jewish
considérable,considerable
conduite,conduct
convention,convention
communiquer,to communicate
prolonger,to prolong
verser,to pay
évidence,evidence
essentiellement,basically
démontrer,demonstrate
négatif,negative
approche,approach
délai,time limit
accroître,increase
bruit,noise
humanité,humanity
radio,radio
moi-même,myself
syndicat,union
prudent,prudent
soirée,evening
vol,flight
marcher,walk
tiers,third
mètre,metre
aborder,to land
occidental,Western
suffisant,sufficient
ciel,sky
tromper,to trick
modeste,modest
éloigner,remove
seconde,second
malheureusement,unfortunately
évaluer,assess
extrêmement,extremely
interne,internal
voire,even or even
témoignage,testimony
messieurs,gentlemen
effectivement,effectively
gaz,gas
acteur,actor
adapter,adapt
cour,court
dépense,spent
souci,worry
expert,expert
sœur,sister
relativement,relatively
comparer,compare
procès,court case
provenir,arise from
réellement,Actually
conscient,aware
céder,to sell
médical,medical
diviser,divide
colère,anger
patient,patient
notion,notion
siège,headquarters
hausse,rise
mécanisme,mechanism
traditionnel,traditional
quart,quarter
approcher,approach
trafic,traffic
catholique,Catholic
foyer,foyer
adulte,adult
reprocher,to reproach
métier,job
modification,modification
peser,weigh
médias,media
hiver,winter
définition,definition
spécialiste,specialist
mari,husband
supprimer,to delete
guère,hardly
douter,doubt
ressentir,to feel
sexuel,sexual
consulter,consult
renseignement,intelligence
âgé,elderly
fonctionnement,working
garçon,boy
parfait,perfect
résumer,to sum up
prévision,forecast
quatrième,fourth
fenêtre,window
incapable,unable
hésiter,hesitate
menace,threat
universel,universal
jeunesse,youth
voler,fly
résister,resist
profondément,deeply
séparation,separation
inutile,useless
refus,refusal
poisson,fish
révolution,revolution
prisonnier,prisoner
avouer,confess
saluer,greet
fer,iron
familial,family
cinéma,movie theater
calcul,calculation
armé,armed
enseignement,education
étonnant,amazing
dizaine,tens
dessus,above
achever,finish
fonctionnaire,official
instruction,instruction
pratiquement,practically
oser,dare
rassembler,bring together
réalisation,production
fiscal,tax
démarche,Steps
corriger,to correct
volume,volume
réussite,success
désir,desire
pur,pure
exportation,export
prier,pray
trente,thirty
âme,soul
dominer,dominate
autorisation,permission
instrument,instrument
indépendance,independence
tort,wrong
hauteur,height
critiquer,criticize
attaque,offensive
assurance,assurance
déficit,deficit
évoluer,evolve
drogue,dope
concret,concrete
percevoir,perceive
rythme,rhythm
approuver,approve
douze,twelve
juridique,legal
espagnol,Spanish
saison,season
épreuve,test
hypothèse,hypothesis
relier,relate
financement,funding
dos,back
consommateur,consumer
soviétique,Soviet
volontaire,deliberate
négocier,to negotiate
finance,finance
rêver,dream
indien,Indian
quantité,amount
définitif,final
persuader,persuade
interpréter,to interpret
annuel,annual
commentaire,comment
marier,marry
spectacle,show
pari,bet
célèbre,famous
ouest,west
sexe,sex
eh,eh
recours,appeal
accent,accent
introduire,introduce
communiste,Communist
concert,concert
couverture,blanket
religion,religion
appui,support
théâtre,theater
saint,Holy
conséquent,substantial
équipement,equipment
descendre,go down
patron,boss
marge,margin
abri,shelter
recette,recipe
généralement,generally
vigueur,vigor
baser,base
soleil,sun
électoral,electoral
ennemi,enemy
bourse,stock Exchange
dimension,dimension
déployer,deploy
dialogue,dialogue
thème,theme
circuler,circulate
porte-parole,spokesperson
présentation,presentation
forêt,forest
outil,tool
vacance,holiday
suffisamment,enough
défi,challenge
front,forehead
suspendre,to suspend
calme,calm
montagne,mountain
sévère,severe
apparemment,apparently
présidence,presidency
magasin,warehouse
commissaire,commissioner
écrivain,writer
monétaire,monetary
ouvrage,work
réputation,reputation
cabinet,cabinet
écart,difference
chien,dog
surveillance,surveillance
indispensable,essential
conversation,conversation
surface,surface
féliciter,congratulate
sûrement,surely
bombe,bomb
efficacité,efficiency
euro,euro
phase,phase
confusion,confusion
précision,precision
compétence,skill
bilan,balance sheet
immense,immense
massif,massive
chute,fall
constant,constant
sain,healthy
intégrer,to integrate
aérien,air
contrairement,contrary to
pierre,Pierre
socialiste,socialist
fortement,strongly
régulier,regular
boîte,box
financer,finance
théorie,theory
hôtel,hotel
nier,deny
phénomène,phenomenon
là-bas,the low
étonner,astonish
totalité,all
sort,spell
accéder,to access
église,church
récupérer,to recover
doter,endow
contribution,contribution
profondeur,depth
émettre,issue
test,test
vice-président,vice-president
pêche,sin
découverte,discovery
potentiel,potential
agricole,agricultural
intellectuel,intellectual
essence,essence
pencher,lean
artiste,artist
coin,corner
tension,tension
don,Don
uniforme,uniform
fidèle,faithful
grève,strike
achat,purchase
mentionner,mention
exécution,execution
distinguer,to distinguish
exploiter,to exploit
administratif,administrative
effectif,effective
communautaire,community
individuel,individual
faciliter,facilitate
original,original
surprise,surprise
veiller,watch
dette,debt
capitale,capital city
maintien,maintenance
chanter,sing
pension,pension
revue,review
clore,close
neige,snow
figure,figure
masse,mass
susceptible,susceptible
étroit,narrow
goût,taste
prestation,benefit
régner,to reign
catastrophe,disaster
ressortir,come out
exploitation,exploitation
manifestation,demonstration
dormir,sleep
lit,bed
bouche,blocked
excuse,excuse
veille,day before
content,happy
rassurer,reassure
triste,sad
latin,Latin
classique,classic
alliance,alliance
préoccupation,concern
trace,trace
logement,accommodation
langage,speech
plainte,complaint
chaud,warm
taire,to hush up
émotion,emotion
judiciaire,judicial
progresser,progress
secours,rescue
confronter,to confront
strict,strict
club,club
ouvrier,worker
souffrance,suffering
observation,observation
rétablir,to re-establish
immeuble,building
passion,passion
rupture,breakup
office,office
compliquer,complicate
assumer,to assume
partiel,partiel
éprouver,experience
rendez-vous,appointment
argument,argument
planète,planet
maire,mayor
délicat,delicate
attentat,bombing
boire,drink
richesse,wealth
caisse,box
hasard,chance
héros,hero
oreille,ear
incident,incident
café,coffee
annonce,announcement
régulièrement,regularly
pont,bridge
foutre,cum
apercevoir,to notice
refléter,reflect
bouger,to move
foule,crowd
chrétien,Christian
isoler,isolate
norme,standard
égalité,equality
tenue,outfit
animer,animate
statistique,statistical
piste,track
préserver,to preserve
hommage,tribute
inférieur,lower
match,match
pointe,point
gouvernemental,governmental
exécuter,execute
tragédie,tragedy
distribution,distribution
scandale,scandal
irakien,Iraqi
chinois,Chinese
bénéfice,profit
billet,ticket
choc,shock
proportion,proportion
canal,channel
briser,to break
destruction,destruction
reculer,to move back
critère,criteria
gardien,guardian
adresse,address
réception,reception
conservateur,conservative
ouais,yeah
transporter,carry
brûler,burn
manœuvre,maneuver
monnaie,cash
transmission,transmission
quelconque,any
courrier,mail
grandir,to grow
élaborer,elaborate
doigt,finger
illustrer,illustrate
poche,poached
affronter,confront
éclater,to burst
honte,shame
faiblesse,weakness
fédération,federation
presser,squeeze
mêler,mix
bonheur,happiness
formuler,formulate
crier,to cry out
pauvreté,poverty
bâtiment,building
époux,husband
médicament,drug
firme,firm
élargir,to broaden
électeur,elector
plonger,dip
véhicule,vehicle
fuir,flee
chercheur,searcher
varier,vary
personnalité,personality
inventer,invent
principalement,mostly
prudence,caution
stade,stadium
liaison,connection
consultation,consultation
québécois,Quebecer
ordonner,to order
bonjour,hello
morale,moral
contester,challenge
nécessairement,necessarily
détermination,determination
congrès,Congress
semblable,similar
préoccuper,concern
dépôt,deposit
considération,consideration
multiplier,multiply
dame,lady
joie,joy
durable,sustainable
faim,hunger
excuser,excuse
recommander,recommend
concept,concept
cerveau,brain
truc,thing
allié,ally
scolaire,school
arabe,Arab
diffuser,broadcast
budgétaire,budgetary
inquiétant,disturbing
inclure,include
style,style
combler,to fill in
ombre,shadow
annuler,to cancel
joueur,player
bloquer,to block
interprétation,interpretation
climat,weather
séjour,stay
guider,guide
spécialiser,specialize
ben,ben
