Italian,English
avuto,had
problema,problem
altri,other
puo,can he
aver,have
mondo,world
tutta,all
preso,taken
nulla,nothing
nostra,our
donna,woman
stare,to stay
basta,enough
insieme,together
faccia,face
ragazza,girl
subito,immediately
famiglia,family
ragazzo,boy
volevo,I wanted
okay,okay
sentito,heard
ah,Ah
stesso,same
ragione,reason
sarà,Sara
tuoi,your
capito,understood
notte,night
volte,times
testa,head
serve,serve
tesoro,treasure
sotto,under
eh,eh
suoi,his
vado,I'm going
sara,will be
dato,given
stiamo,we are
bella,pretty
scusa,excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,to take
buona,good
porta,brings
bello,nice
moglie,wife
vorrei,I would like
storia,history
succede,It happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,come on
capisco,I understand
secondo,according to
venire,come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,while
letto,read
fino,until
dico,I say
amici,friends
fine,end
aiuto,Help
paura,fear
fratello,brother
stavo,I was
uomini,men
nell',in the'
domani,tomorrow
facciamo,we do
abbastanza,enough
capo,boss
amore,love
nei,in the
ucciso,killed
state,state
piano,plan
macchina,machine
trovare,to find
comunque,Anyway
vediamo,we see
giorni,days
nemmeno,neither
mano,but no
dall',from
presto,soon
stati,States
merda,shit
far,do
bambino,baby
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,round
morte,death
e',and'
qua,here
pensato,thought
buon,good
anno,year
mie,my
diavolo,devil
quasi,almost
piacere,pleasure
bel,nice
dovrei,should I
nessun,no
contro,versus
stessa,same
felice,happy
colpa,guilt
punto,point
andata,outward
dovrebbe,it should
vedi,you see
quale,which
chiesto,asked
invece,instead
perchè,why
migliore,improve
nostri,our
finito,finished
figlia,daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,let's hope
minuti,minutes
terra,earth
vostra,your
strada,Street
sola,lonely
credi,believe
importante,important
sue,his
salve,Hello
settimana,week
perso,lost
uscire,go out
parlato,spoken
papà,Pope
stasera,this evening
scusi,excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,last
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,was
bambini,children
eri,you was
importa,it matters
indietro,backwards
riesco,I can
sangue,blood
chiama,who loves
messo,put
piccolo,small
traduzione,translation
tardi,late
cuore,heart
marito,husband
viene,he comes
venuto,coming
ieri,yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,listens
difficile,hard
quell',that'
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,think
fantastico,fantastic
fatta,made
numero,number
veramente,truly
fanno,do
com',as
serio,serious
possa,can
fossi,dive
entrare,to come in
anch',too
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,water
portato,brought
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,love you
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,to feel
foto,photo
telefono,telephone
voleva,He wanted
poco,little
prendi,you take
piccola,small
vicino,near
quest',this
sacco,sack
stia,stia
capire,to understand
potuto,could
cinque,five
strano,strange
tue,your
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,type
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speak out
ufficio,office
verso,to
mesi,months
farti,make you
unica,only
morire,die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,that
vivere,to live
vista,view
prova,he tries
nuova,new
ricordo,I remember
divertente,fun
avessi,had
sicura,safe
paio,pair
conto,bill
perdere,lose
dimmi,tell me
farmi,make me
figli,children
mezzo,half
lavorare,work
unico,one of a kind
esattamente,exactly
squadra,squad
esatto,exact
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Doctor
parola,word
piedi,feet
sopra,above
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finite
volete,you want
siano,they are
potresti,you could
gioco,game
perfetto,perfect
be,be
mente,mind
mangiare,to eat
resto,rest
credere,to believe
fortuna,fortune
tratta,deals with
chiamo,call
morta,dead
là,there
entrambi,both of them
avresti,you would have
passare,to pass
cena,dinner
the,tea
sarei,I would be
controllo,control
affari,business
spiace,unpleasant
ultimo,last
facile,easy
farò,lighthouse
buongiorno,good morning
davanti,front
tizio,guy
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,John
vogliono,want
molti,many
culo,ass
fuoco,fire
cercare,search for
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in
cioe,that is
inizio,Start
saranno,they will be
causa,it causes
voglia,wants
mettere,put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we will do
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,Roger that
vivo,I live
presidente,president
città,city
citta,city
succedendo,succeeding
ospedale,hospital
fu,was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,had
ottimo,Optimal
cura,treatment
durante,during
provato,tried
parole,words
lasciare,to leave
dicono,they say
new,new
prossima,next
nostre,our
arrivato,arrived
paese,country
sull',on
andate,go
chiunque,whoever
capisci,Do you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,oh God
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,mistaken
dirmi,tell me
wow,wow
farai,you will do
entra,come in
venuta,coming
scelta,choice
voluto,wanted
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,back
scoperto,discovered
fatti,facts
settimane,weeks
dirlo,be
alcuni,some
prigione,prison
giornata,day
piuttosto,rather
buono,good
aspettare,wait
parli,you speak
arrivare,get
lungo,long
vede,see
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,to sleep
dieci,ten
stupido,stupid
usare,use
dello,of the
cielo,sky
guardare,to look
bagno,bath
aria,air
voce,voice
tornato,got back
vuol,vuol
giù,below
conosci,you know
benissimo,Very well
prendo,I take
verita,truth
cane,dog
restare,remain
chiamare,to call
poter,being able
campo,field
luce,light
sam,Sam
qualunque,any
giovane,young
signori,gentlemen
fra,between
provare,try
minuto,minute
saperlo,know it
lontano,distant
gruppo,group
continua,keep on
arrivo,I arrive
gran,large
realta,reality
cerca,near
passo,step
domande,requests
insomma,in short
bambina,child
pensando,think
capelli,hair
trova,find
onore,honor
aiutare,to help
verità,truth
prove,evidence
n',n '
funziona,it works
alto,tall
giu,below
credevo,I believed
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food
fretta,rush
cara,Dear
finalmente,finally
morti,death
odio,hate
solito,usual
brava,good
é,and
incidente,accident
allo,at the
dev',DE
intenzione,intention
speciale,special
cambiare,to change
vera,real
camera,room
oltre,beyond
semplice,simple
dirti,tell you
riguardo,regard
finche,as long as
aspetto,appearance
viaggio,travel
chiaro,clear
chiamata,call
bocca,mouth
permesso,permit
piacerebbe,would like to
dovete,you have to
giocare,play
ordine,order
circa,about
ovviamente,obviously
finire,finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,I'm sorry
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,York
fondo,background
resta,remain
devono,must
prossimo,next
pronti,ready
saputo,known
scusate,excuse me
potere,candies
milioni,millions
soltanto,only
armi,weapons
arriva,he arrives
fermo,stopped
mese,month
chiedere,ask
cristo,Christ
torno,back
venite,come
controllare,to check
appuntamento,appointment
s,s
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,you put
grado,grade
vanno,they go
nave,ship
iniziato,started
perche',because'
informazioni,information
libero,free
stronzo,asshole
grandi,big
pezzo,piece
segreto,secret
colpo,blow
faceva,he did
piacciono,like
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,fast
assassino,killer
sapeva,He knew
finché,as long as
tom,Tom
ormai,at this point
interessa,interest
generale,general
giusta,right
tenere,to keep
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,Advice
michael,Michael
alcune,some
semplicemente,simply
zio,uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,aspect
incredibile,incredible
sole,Sun
glielo,it
legge,law
spesso,often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,Charlie
lasciami,leave me
gentile,gentle
rispetto,respect
ve,ve
fara,will make
zitto,Shut up
incontro,meeting
farà,will make
servono,need
rapporto,relationship
errore,mistake
mike,Mike
sanno,they know
pagare,to pay
sorpresa,surprise
occhiata,look
risposta,reply
presa,socket
servizio,service
medico,doctor
usato,used
hey,Hey
caro,Dear
schifo,disgust
avrai,you will have
dolore,ache
saresti,would you be
personale,personnel
quali,Which
saro,I'll be
peggio,worse
addio,goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realtà,reality
do,do
sarò,I'll be
normale,normal
fame,hunger
programma,program
nonna,Grandmother
sappia,know
sembrava,It seemed
migliori,best
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,to remain
compagnia,company
proposito,purpose
farci,make us
joe,Joe
ricorda,remember
frank,Frank
prende,takes
tante,many
avevano,they had
arrivando,arriving
chiuso,closed
terribile,terrible
ritardo,delay
attento,watch out
bar,Cafe
sembri,you look
fallo,just do it
dimenticato,forgotten
bisogna,need
impossibile,impossible
cioè,that is
studio,study
stessi,same
arma,weapon
conosce,know
uscita,exit
ii,II
fin,fin
disse,She said
david,David
vattene,get out
quante,how much it is
guai,trouble
intorno,environment
video,video
manca,lacks
esserci,there
grosso,big
tanti,many
dolce,sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting
peccato,Sin
questione,question
adoro,I adore
aereo,airplane
guardi,look
rubato,stolen
sala,room
base,basis
peter,Peter
george,George
sette,seven
sente,feel
compleanno,birthday
potrebbero,they might
relazione,relation
cliente,customer
spalle,shoulders
seconda,second
parti,set off
vale,vale
qualcun,someone
diritto,right
sicuramente,surely
appartamento,flat
pranzo,lunch
saremo,we will be
denaro,money
riuscito,succeeded
continuare,to continue
serata,evening
nero,black
vestito,dress
carta,paper
ex,former
dottoressa,doctor
bastardo,Bastard
potevo,I could
iniziare,to start
lavora,work
otto,eight
conosciuto,known
zona,area
stavi,be
intendo,I mean
negozio,shop
trovo,I find
aspettando,waiting for
partita,match
tv,TV
spazio,space
andra,andra
notizia,news
tempi,time
linea,line
james,james
riguarda,regard
soli,suns
parliamo,let's talk
uh,uh
poliziotto,policeman
scappare,to run away
fronte,front
vinto,won
averlo,have it
tranquillo,calm
silenzio,silence
andati,gone
fossero,they were
simile,similar
pezzi,pieces
calma,calm
santo,holy
ricerca,Research
pena,penalty
aspettate,wait
stesse,same
esiste,exists
scoprire,discover
altrimenti,otherwise
diceva,he said
luogo,place
lettera,letter
vive,lives
salvare,to save
canzone,song
vengono,they come
pubblico,public
senta,feel
corso,course
henry,Henry
regalo,gift
sentite,hear
rimasto,left
lavorando,work
né,neither
scherzando,joking
stamattina,This morning
missione,mission
test,test
salute,health
farebbe,would do
scelto,choice
dura,tough
computer,computer
stupida,stupid
avremmo,we would have
aiutarti,help you
contatto,contact
pericolo,danger
entro,within
parlo,I speak
alex,Alex
freddo,cold
triste,sad
promesso,promised
esercito,army
america,America
ultimi,last
trovi,find
dunque,so
guardia,guard
jane,jane
infatti,indeed
possibilita,possibility
intendi,you mean
fbi,FBI
casino,casino
buonanotte,good night
caccia,hunting
gay,gay
arrivata,arrived
lavori,jobs
max,max
certamente,surely
regole,rules
vostre,your
dovrai,you will have to
secondi,second
ballo,dance
ascoltami,listen to me
birra,beer
ovunque,everywhere
club,club
paul,Paul
arrivati,arrival
governo,government
bellissima,beautiful
oro,gold
duro,hard
cucina,kitchen
decisione,decision
anima,soul
forma,form
tornata,back
esempio,example
incontrato,encountered
occasione,occasion
stanotte,tonight
porti,port
droga,drug
possibilità,possibility
cellulare,cell phone
necessario,necessary
avremo,we'll have
ferma,stop
borsa,bag
prometto,I promise
palle,balls
nonno,not no
piena,full
attacco,attack
dagli,from
affatto,at all
colpito,hit
salvato,saved
siediti,sit down
reale,real
comprare,buy
inferno,hell
parlarne,talk about it
diciamo,let's say
regina,Queen
carina,nice
aperto,open
brutta,ugly
braccio,arm
fermati,stop
stavamo,we were
crimine,crime
andrà,will go
chiesa,church
effetti,effect
tenente,lieutenant
sapevi,you knew
scrivere,write
scommetto,I bet
paziente,patient
scarpe,shoes
danny,Danny
livello,level
fermi,firm
ia,ia
lunga,long
mentito,lies
viva,Viva
spettacolo,show
usa,use
visita,visit
alcun,any
sarah,Sarah
precedenti,previous
diventato,become
mica,not
sinistra,left
percio,thus
processo,process
mare,sea
direttore,director
intelligente,intelligent
mary,Mary
rende,Rende
comprato,bought
classe,class
ehm,uh
cambio,exchange
scorsa,last
farla,do it
bianco,White
tavolo,table
stagione,season
dite,of you
nick,nick
dannazione,damnation
cavallo,horse
sergente,sergeant
incinta,pregnant
rotto,Broken
aiuti,aid
episodio,episode
rispondere,reply
contento,happy
conoscere,know
inglese,English
volo,fly
attraverso,through
riesce,he succeeds
differenza,difference
apri,you open
passi,steps
uscito,released
coi,with
codice,code
lato,side
hotel,hotel
maggiore,greater
farsi,be
uniti,united
trovata,gimmick
eccolo,there he is
carne,meat
lavorato,worked
star,star
umano,human
certa,certain
miglior,best
averti,have you
de,de
pagato,paid
libera,free
avrà,will have
vorrebbe,he would
caldo,hot
pelle,leather
interno,internal
temo,fear
leggere,to read
comandante,commander
cerco,I search
avrebbero,they would have
pomeriggio,afternoon
documenti,papers
farei,I would do
giudice,judge
mostro,monster
destra,right
luna,moon
ringrazio,I thank
guardando,look at
pericoloso,dangerous
buone,good
affare,deal
figliolo,son
jake,Jake
vino,wine
passa,passage
presente,here I'm
ordini,orders
arrivederci,until we meet again
caffè,coffee
barca,boat
maledizione,curse
nuovi,new
vederlo,see him
lezione,lesson
intero,entire
dia,diamond
partire,leave
venuti,coming
sogni,dreams
chiedendo,ask
alta,high
nord,north
pensate,think
jimmy,Jimmy
parlarti,talk to you
perciò,therefore
congratulazioni,congratulations
data,date
sposato,married
gliel',him
sembrare,seem
treno,train
radio,radio
l,L
comune,common
cattivo,bad
imparato,learned
smettere,stop
ottima,Great
aiutarmi,help me
ama,loves
intera,full
responsabile,responsible
abbiano,have
lascio,I leave
farcela,do it
bomba,bomb
agenti,agents
belle,beautiful
m',m '
pochi,few
san,San
clienti,customers
periodo,period
energia,power
segno,sign
mangiato,ate
calmati,take it easy
chiudi,close
posti,places
accidenti,damn!
bellissimo,very beautiful
quegli,those
dovrebbero,they should
vivi,alive
speranza,hope
rischio,risk
caffe,coffee
rosso,red
soprattutto,mostly
combattere,fight
tocca,touches
operazione,operation
zia,aunt
sexy,sexy
gamba,leg
biglietto,ticket
pazza,crazy
ufficiale,official
vorresti,would you
vincere,win
gambe,legs
pressione,pressure
farle,make them
seguito,following
nascosto,hidden
maestro,master
fantastica,fantastic
benvenuto,welcome
and,and and
sarebbero,they would be
offerta,offering
ami,do you love
vite,lives
scherzo,joke
qualcos',something
finta,fake
testimone,witness
fratelli,brothers
banca,bank
aprire,to open
potesse,could
stronzate,bullshit
indirizzo,address
tale,such
ottenere,gain
potessi,could
jim,jim
esperienza,experience
portata,scope
messa,mass
steve,steve
piangere,to cry
bill,Bill
segreti,secrets
scorso,last
tony,Tony
lasciate,leave
andremo,we will go
sud,south
uccisa,killed
darmi,give me
torni,return
pianeta,planet
darti,give you
inoltre,furthermore
serie,series
esci,you go out
ray,ray
vittime,victims
diversi,different
porca,porca
guida,guide
prezzo,price
strana,strange
arrabbiato,angry
vecchi,old
verrà,it will come
orribile,horrible
gesu,Jesus
ritorno,I come back
entrato,entered
animali,animals
enorme,huge
metto,put
harry,Harry
passaggio,ride
imparare,learn
progetto,project
danno,damage
naturalmente,naturally
colpevole,guilty
ragazzino,little boy
metri,meters
tommy,Tommy
chiavi,keys
mossa,move
finestra,window
suppongo,I presume
destino,destiny
molta,a lot of
saltare,jump
correre,to run
frega,free
edificio,building
colazione,Breakfast
collo,neck
difesa,defence
diro,I will say
vicini,neighbors
fiducia,trust
aiutato,helper
maggior,greatest
avermi,have me
saprei,I know
capisce,understand
ristorante,restaurant
nomi,names
laboratorio,laboratory
scegliere,to choose
comando,command
chiedi,ask
arte,art
meta,half
discorso,speech
nove,nine
avra,Avra
segnale,signal
perfetta,perfect
fortunato,lucky
libri,books
carriera,career
blu,blue
cominciare,begin
muro,Wall
will,Will
tranne,except
bob,bob
proteggere,to protect
prendendo,taking
dubbio,doubt
dati,data
stazione,station
emergenza,emergency
giustizia,justice
immediatamente,immediately
odore,odor
umani,humans
college,college
ascolti,you listen
contrario,opposite
terzo,third
preoccupare,worry
locale,local
mette,put
faranno,they will do
battaglia,battle
aiutarla,help her
diverse,different
notato,noted
chiamate,calls
sceriffo,sheriff
sembrano,they seem
evitare,avoid
spirito,spirit
seduto,sitting
bianca,white
ryan,Ryan
lingua,language
dipartimento,department
controllato,controlled
massimo,maximum
praticamente,practically
riunione,meeting
po',little'
rumore,noise
torta,cake
guardami,watch me
dirò,I will say
accanto,next to
eroe,hero
turno,shift
piccoli,little ones
entrambe,both
dovremo,we will have to
potrai,you can
londra,London
vedrai,you will see
punti,points
fiori,flowers
vederla,see her
persino,even
ovvio,obvious
furgone,van
amy,Amy
coppia,couple
ridere,laugh
inizia,it begins
pausa,break time
billy,Billy
grave,serious
vedete,you see
memoria,memory
dovevi,you had to
aiutami,help me
tranquilla,calm
cosi',so'
naso,nose
andava,he went
nemico,enemy
mangia,he eats
chiudere,to close
felici,happy
colonnello,colonel
palla,ball
giovani,young
richard,Richard
nuove,new
costa,it costs
laggiù,over there
lee,Lee
scatola,box
torniamo,we return
albero,tree
you,Youu
tribunale,court
razza,race
anello,ring
prenda,take
idee,ideas
piede,feet
ferita,wound
ferito,wound
cerchi,rim
preoccupato,worried
verra,it will come
sentimenti,feelings
arresto,arrest
project,project
averla,have it
dà,from
soldato,soldier
natura,nature
cominciato,started
inutile,useless
casi,cases
prendiamo,we take
colore,color
basso,low
uso,use
don,Don
anzi,rather
storie,stories
digli,say to Him
daniel,Daniel
preferito,favorite
dirle,give them
utile,useful
cattiva,bad
cani,dog
sparare,shoot
parigi,Paris
diventa,becomes
chiamano,they call
ascoltare,to listen
kevin,Kevin
decidere,to decide
professore,professor
fidanzato,fiancé
sensazione,sensation
andartene,go
legale,legal
carte,cards
compito,task
srt,SRT
stronza,bitch
contenta,content
provi,try
los,los
corte,court
tengo,I keep
pesce,fish
pensano,they think
johnny,Johnny
obiettivo,objective
incontrare,encounter
nato,born
visti,visas
show,show
conta,count
accesso,access
breve,brief
risolvere,solve
isola,island
povero,poor man
stavolta,this time
mark,Mark
affrontare,face
poliziotti,policemen
opera,Opera
anna,Anna
buoni,good
ballare,dance
bacio,kiss
resti,remains
funzionato,worked
bordo,edge
sbaglio,I err
giochi,games
verde,green
saremmo,we would be
aperta,open
improvviso,sudden
continui,continuous
fianco,flank
alzati,get up
accettare,to accept
metà,half
continuo,continuous
peso,weight
piaciuto,liked
stile,style
corsa,race
entrata,ticket
soluzione,solution
maria,Maria
fanculo,fuck you
contratto,contract
arrabbiata,angry
fermare,to stop
retro,back
meraviglioso,wonderful
guidare,Drive
denti,teeth
mandare,send
fidati,trust me
sveglia,Wake Up
tiene,hold
ultimamente,lately
creato,created
prendermi,take me
kate,Kate
dipende,depends
innocente,innocent
scopo,scope
coltello,knife
chris,Chris
fila,line
magia,magic
effetto,effect
procuratore,prosecutor
ricordare,to remember
smesso,stopped
dna,DNA
vendere,to sell
pantaloni,trousers
miss,Miss
centrale,central
azione,action
principe,prince
cadavere,dead body
chiusa,closed
fede,faith
nipote,grandson
andro,I will go
soldati,soldiers
conti,accounts
finisce,ends
stavano,they were
riuscita,successful
troveremo,we will find
stampa,press
of,of
assistente,assistant
ognuno,each one
robert,Robert
debole,weak
risultati,results
ridicolo,ridiculous
sii,Yay
vaffanculo,fuck
andarci,go there
adam,Adam
dirtelo,tell you
grandioso,great
americano,American
gesù,Jesus
francese,French
chiederti,ask for
faresti,would you do
taxi,Taxi
sottotitoli,subtitles
creare,create
peggiore,worse
bevuto,drunk
rimasta,left
angolo,corner
latte,milk
buio,dark
siate,be
malattia,illness
gatto,cat
suona,it sounds
troviamo,we find
brian,Brian
estate,summer
scomparsa,disappearance
fargli,make him
risposto,replied
condizioni,conditions
muoviti,move
charles,Charles
angeles,Angeles
fiume,river
schiena,back
sindaco,mayor
nonostante,despite
reso,made
campagna,countryside
andrai,you will go
tenuto,hold
paga,pay
seguire,follow
cerchiamo,we seek
scott,Scott
coglione,asshole
rachel,Rachel
bobby,Bobby
dettagli,details
chiaramente,clearly
rispondi,reply
capace,to be able
distrutto,destroyed
forze,Strength
importanza,importance
debba,owes
importanti,important
particolare,particular
stanco,tired out
piani,plans
mantenere,to keep
piaceva,liked
richiesta,request
parecchio,quite a lot of
dando,giving
principale,principal
rose,rose
insegnato,taught
faccenda,affair
vento,wind
immaginare,to imagine
dimenticare,forget
matto,crazy
convinto,convinced
rovinato,ruined
campione,sample
buonasera,good evening
braccia,arm
laggiu,laggiu
decisamente,decidedly
washington,Washington
usando,using
provando,trying
momenti,moments
sbagliata,wrong
andrò,I will go
pensarci,think about it
mercato,market
valore,value
sbrigati,hurry up
salire,go out
drink,drink
riuscire,to be able to
spiegare,to explain
principessa,princess
provo,I try
avro,avorus
attenta,careful
zitta,shut up
eddie,Eddie
andy,Andy
bellezza,beauty
prendete,take
tanta,so much
morendo,dying
rilassati,take it easy
buco,hole
conversazione,conversation
dover,have to
speravo,I hoped
attesa,wait
pensiero,thought
rimane,remains
benvenuti,welcome
conoscenza,knowledge
ponte,bridge
malato,ill
claire,Claire
sedia,chair
vedremo,we will see
omicidi,murders
walter,Walter
finale,the final
impronte,fingerprints
sistemare,tidy up
pensiamo,we think
emma,Emma
succedere,happen
avrò,I will have
emily,Emily
ghiaccio,ice
tracce,traces
bottiglia,bottle
accettato,accepted
indagine,investigation
pensava,he thought
passata,pass
super,super
eppure,but yet
fottuto,fuck
propria,proper
tiro,shot
cadere,fall
ll,ll
diversa,different
sguardo,gaze
perdita,lost
milione,million
camminare,walk
eccoci,here we are
dan,Dan
pratica,practice
americani,Americans
primi,first
villaggio,village
scuse,apologies
fantasma,ghost
trovarlo,find it
potevi,you could
preferisco,I rather
scusatemi,sorry
ispettore,inspector
teoria,theory
chiamami,Call me
dovere,duty
camion,truck
parco,park
palazzo,building
privato,private
dovreste,you should
troia,slut
chiede,asks
volessi,I wanted
purtroppo,unfortunately
eccola,here she is
preoccupata,worried
area,area
aspettavo,I was waiting for
prenderti,pick you up
accusa,accusation
crederci,believe it
martin,Martin
stelle,stars
direttamente,directly
ie,ie
aiuta,it helps
esserlo,be
voler,want
cento,one hundred
fidanzata,fiancée
andarmene,leave
seriamente,seriously
pista,track
terza,third
desiderio,wish
preoccupi,worry
mentendo,mind
ubriaco,drunk
angelo,angel
tradurre,to translate
luci,lights
popolo,people
case,houses
grace,grace
dita,fingers
vince,wins
infermiera,nurse
altezza,height
seduta,sitting
minaccia,threat
età,age
controlla,check it out
nazionale,national
genio,genius
caduto,fallen
corri,run
cinema,cinema
t,t
passati,past
tetto,roof
alcuna,no
stella,star
josh,josh
media,average
politica,politics
voci,voices
suono,sound
to,to
copertura,coverage
conosciamo,we know
vissuto,lived
piaci,like us
internet,Internet
eric,Eric
lettere,letters
occupato,busy
sposata,married
cancro,cancer
numeri,numbers
diamo,let's give
credimi,believe me
compagno,company
merito,merit
società,society
quand',when when
nient',nothing'
spada,spade
vedermi,see me
scendere,descend
pazienti,patient
kim,kim
dirgli,tell him
leggi,laws
cambia,change
facevo,I did
pete,pete
sentita,feeling
diventata,become
perfettamente,perfectly
ragazzina,little girl
bicchiere,glass
autobus,bus
dargli,give him
vuoto,empty
porte,doors
animale,animal
jason,Jason
azienda,agency
sabato,Saturday
pollo,chicken
spiaggia,beach
ordinato,ordered
rotta,route
dovesse,should
telefonata,phone call
thomas,Thomas
completo,full
lasciamo,we leave
entri,enter
liceo,Lyceum
rosa,rose
mezza,half
innamorato,fell in love
doccia,shower
guardato,watched
matt,matt
stanca,tired
arrestato,arrested
esce,goes out
date,at your place
venduto,sold
gara,competition
comincia,it starts
orologio,clock
eravate,was
fan,fan
erba,grass
viso,face
bevi,drink
metta,put
fece,did
ascoltate,listen
distanza,distance
alice,alice
maledetto,cursed
